Task #,Due Date,Site,Building,Equipment,Name,Interval,Status,Assigned To,Open Date,Category,Est Labor Hours,Labor Hours,Equipment Category,Updated At,Object ID
"PM-UNP-19733",2026-05-28 16:00:00,"University Park","26 Landsdowne Street","26LS All Generators","26LS DEP Generator Log Update (Engineer)","Every 1 Month","to_do","Piotr Olszewski",2026-04-28 16:00:03,"Generator","0.50","0.00","Generator",2026-04-28 16:00:03,"Uby0WACRhl"
"PM-UNP-19732",2026-05-28 16:00:00,"University Park","26 Landsdowne Street","26LS Desiccant Filter Dryer","26 Desiccant Filter Dryer Monthly Swap Over (Engineer)","Every 1 Month","to_do","Piotr Olszewski",2026-04-28 16:00:03,"Desiccant Dryer","0.50","0.00","Desiccant Dryer",2026-04-28 16:00:03,"Oy3dvObUcj"
"PM-UNP-19727",2026-05-02 16:00:00,"University Park","45 Sidney Street","45SS All Generators","Weekly Generator Run","Every 1 Week","to_do","Evan Sullivan",2026-04-27 16:00:08,"Generator","1.00","0.00","Generator",2026-04-27 16:00:08,"OTeLMaDOWJ"
"PM-UNP-19715",2026-05-04 16:00:00,"University Park","300 Massachusetts Avenue","300MA Building","300 Mass Ave Water Treatment","Every 1 Week","to_do","Jorge Figueroa",2026-04-27 16:00:07,"Building","2.00","0.00","Building",2026-04-27 16:00:07,"B9c9vr9GUC"
"PM-UNP-19714",2026-05-01 23:59:00,"University Park","","","escort","","to_do","Eduin Sepulveda",2026-04-27 14:34:38,"","","0.00","",2026-04-27 14:34:38,"zFBY5WPwWa"
"PM-UNP-19711",2026-05-01 16:00:00,"University Park","26 Landsdowne Street","26LS All Generators","26LS Weekly Generator Run (Engineer)","Every 1 Week","to_do","Piotr Olszewski",2026-04-26 16:00:05,"Generator","1.00","0.50","Generator",2026-04-28 09:42:10,"n4kCgJr617"
"PM-UNP-19710",2026-05-01 16:00:00,"University Park","35 Landsdowne Street","35LS Generator 1","35LS Weekly Generator Run (Engineer)","Every 1 Week","to_do","Brandon Gonzalez",2026-04-26 16:00:05,"Generator","1.00","0.00","Generator",2026-04-26 16:00:05,"ZhBLjADxbz"
"PM-UNP-19708",2026-05-01 16:00:00,"University Park","750 Main Street","750MS Generator 1","750MS Weekly Generator Run (Engineer)","Every 1 Week","to_do","Eduin Sepulveda",2026-04-26 16:00:05,"Generator","1.00","0.00","Generator",2026-04-27 09:34:04,"OEcLaGC8lF"
"PM-UNP-19707",2026-05-01 16:00:00,"University Park","300 Massachusetts Avenue","300MA Caterpillar Gen (Base Building)","300MA Weekly Generator Run (Engineer)","Every 1 Week","to_do","Jorge Figueroa",2026-04-26 16:00:05,"Generator","1.00","0.00","Generator",2026-04-26 16:00:05,"gBVfQA06qi"
"PM-UNP-19706",2026-05-01 16:00:00,"University Park","88 Sidney Street","88SS Generator","88SS Weekly Generator Run (Engineer)","Every 1 Week","to_do","Evan Sullivan",2026-04-26 16:00:05,"Generator","1.00","0.00","Generator",2026-04-26 16:00:05,"jkTXA4R8VY"
"PM-UNP-19705",2026-05-01 16:00:00,"University Park","40 Landsdowne Street","40LS Generator 1","40LS Weekly Generator Run (Engineer)","Every 1 Week","to_do","Piotr Olszewski",2026-04-26 16:00:05,"Generator","1.00","0.00","Generator",2026-04-27 09:53:59,"lfokcwf7sX"
"PM-UNP-19699",2026-05-01 16:00:00,"University Park","","","350MA Weekly Water Test (Engineer) CAM-WT-Water Treatment","Every 1 Week","to_do","Jorge Figueroa",2026-04-26 16:00:04,"Water Treatment","2.00","0.00","",2026-04-26 16:00:04,"iU7cNBVW6v"
